section_id,basin_id,run,ok,lat,lon,station_along_ft,thalweg_elev_ft,bankfull_depth_ft,topbank_depth_ft,d100_above_thalweg_ft
CC-TIL-705_r1_023,CC-TIL-705,1,1,35.25530941919003,-83.22324704389602,5550.0,2700.42,1.59,4.33,5.25
CC-TIL-705_r1_024,CC-TIL-705,1,0,35.25553654110199,-83.22228189871159,5850.0,2676.06,1.57,7.36,6.2
CC-TIL-705_r1_025,CC-TIL-705,1,1,35.25550363578251,-83.22132314025002,6150.0,2658.55,3.52,8.14,5.94
CC-TIL-705_r1_026,CC-TIL-705,1,1,35.25527565606901,-83.22036008264563,6450.0,2640.94,2.93,3.95,5.77
CC-TIL-705_r1_027,CC-TIL-705,1,1,35.254965857438116,-83.2194480981484,6750.0,2619.07,3.73,5.46,5.34
CC-TIL-705_r1_028,CC-TIL-705,1,1,35.25533977049967,-83.21857237416557,7050.0,2600.03,1.69,3.24,4.91
CC-TIL-705_r1_029,CC-TIL-705,1,1,35.2559830371735,-83.21795355293852,7350.0,2577.36,4.41,12.26,4.97
CC-TIL-705_r1_030,CC-TIL-705,1,0,35.256616144613396,-83.21731161444511,7650.0,2551.65,1.93,10.52,5.18
CC-TIL-705_r1_031,CC-TIL-705,1,1,35.257216514540325,-83.21662002291393,7950.0,2527.86,10.75,11.4,4.97
CC-TIL-705_r1_032,CC-TIL-705,1,1,35.25781688446726,-83.21592843138275,8250.0,2506.14,2.98,8.28,5.21
CC-TIL-705_r1_033,CC-TIL-705,1,1,35.258432774708595,-83.2152578610584,8550.0,2490.9,1.62,3.16,5.15
CC-TIL-705_r1_034,CC-TIL-705,1,1,35.25905475617083,-83.21459554087714,8850.0,2475.29,4.4,12.97,5.2
CC-TIL-705_r1_035,CC-TIL-705,1,1,35.259700659755836,-83.21396942148836,9150.0,2460.54,2.52,3.09,5.94
CC-TIL-705_r1_036,CC-TIL-705,1,0,35.260340420237775,-83.21333402751833,9450.0,2447.68,1.94,17.19,3.94
CC-TIL-705_r1_037,CC-TIL-705,1,0,35.260961997482426,-83.21267113828974,9750.0,2434.0,1.62,14.78,4.55
CC-TIL-705_r1_038,CC-TIL-705,1,1,35.261583574727084,-83.21200824906113,10050.0,2420.19,2.96,9.26,5.59
CC-TIL-705_r1_039,CC-TIL-705,1,0,35.262205151971735,-83.21134535983253,10350.0,2409.0,2.65,9.48,4.83
CC-TIL-705_r1_040,CC-TIL-705,1,1,35.2628682633975,-83.2107462875481,10650.0,2398.25,1.95,2.26,6.35
CC-TIL-705_r1_041,CC-TIL-705,1,1,35.26343704239467,-83.21001817173871,10950.0,2386.16,2.52,3.29,5.85
CC-TIL-705_r1_042,CC-TIL-705,1,1,35.26383476483667,-83.20915538502038,11250.0,2375.2,2.22,3.04,5.38
CC-TIL-705_r1_043,CC-TIL-705,1,1,35.26412994585613,-83.20821483409736,11550.0,2365.0,2.14,6.06,5.16
CC-TIL-705_r1_044,CC-TIL-705,1,1,35.26450443965463,-83.20732778940446,11850.0,2355.49,1.9,2.99,4.72
CC-TIL-705_r1_045,CC-TIL-705,1,1,35.264687396652356,-83.20634685210122,12150.0,2347.05,1.83,6.37,5.09
CC-TIL-705_r1_046,CC-TIL-705,1,1,35.26489981623385,-83.20538099934072,12450.0,2337.37,2.61,4.79,5.14
CC-TIL-705_r1_047,CC-TIL-705,1,1,35.26539784500266,-83.2045793446298,12750.0,2328.63,2.51,7.07,4.43
CC-TIL-705_r1_048,CC-TIL-705,1,1,35.265728105863346,-83.20366616038211,13050.0,2317.17,3.05,10.42,5.86
CC-TIL-705_r1_049,CC-TIL-705,1,1,35.26610647873401,-83.20277207646532,13350.0,2306.95,4.24,12.74,5.54
CC-TIL-705_r1_050,CC-TIL-705,1,1,35.26650971827535,-83.20189167722047,13650.0,2298.13,2.94,3.74,6.08
CC-TIL-705_r1_051,CC-TIL-705,1,0,35.26679404012679,-83.20094599456178,13950.0,2290.04,1.81,18.72,5.21
CC-TIL-705_r1_052,CC-TIL-705,1,1,35.26706226350786,-83.19999147416746,14250.0,2281.55,2.15,6.75,5.28
