stream,section,mile,position,q10_cfs,wse10_ngvd29_ft,q100_cfs,wse100_ngvd29_ft,q500_cfs,wse500_ngvd29_ft,lat_approx,lon_approx,vertcon_shift_ft,wse10_navd88_ft,wse100_navd88_ft,wse500_navd88_ft,datum_note,note
Tuckasegee,22,44.98,US,11970,2099.8,28640,2106.6,47150,2112.0,35.27179,-83.13519,-0.06,2099.74,2106.54,2111.94,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,23,45.54,,11935,2107.4,28575,2112.4,47035,2117.0,35.265,-83.12913,-0.047,2107.35,2112.35,2116.95,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,24,46.2,,11900,2117.9,28500,2122.5,46900,2126.1,35.257,-83.122,-0.036,2117.86,2122.46,2126.06,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Cullowhee Creek,1,0.01,DS,2610,2062.2,5220,2070.1,7390,2075.8,35.32138,-83.17953,-0.115,2062.09,2069.99,2075.69,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,Tuckasegee mi 40.88 backwater elevations (footnote d)
Cullowhee Creek,1,0.01,US,2610,2062.4,5220,2070.1,7390,2075.8,35.32138,-83.17953,-0.115,2062.29,2069.99,2075.69,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Cullowhee Creek,2,0.29,,2600,2064.8,5200,2070.1,7360,2075.8,35.31798,-83.18051,-0.118,2064.68,2069.98,2075.68,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Cullowhee Creek,3,0.6,,2590,2073.0,5175,2074.9,7330,2076.0,35.31421,-83.18158,-0.121,2072.88,2074.78,2075.88,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Cullowhee Creek,4,0.89,,2580,2079.2,5155,2081.5,7305,2082.9,35.31068,-83.18259,-0.123,2079.08,2081.38,2082.78,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,ANCHOR: matches basins.py CC-WCU-2260 tva_wse
Cullowhee Creek,5,1.09,DS,2575,2083.8,5140,2085.1,7285,2086.0,35.30825,-83.18328,-0.125,2083.68,2084.97,2085.88,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Cullowhee Creek,5,1.09,US,2575,2084.7,5140,2088.4,7285,2089.3,35.30825,-83.18328,-0.125,2084.57,2088.28,2089.18,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Cullowhee Creek,6,1.16,DS,2575,2086.1,5135,2089.4,7280,2090.6,35.3074,-83.18353,-0.125,2085.97,2089.28,2090.47,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Cullowhee Creek,6,1.16,US,2575,2087.6,5135,2091.6,7280,2095.8,35.3074,-83.18353,-0.125,2087.47,2091.47,2095.68,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
