source,river,rm_ft,tva_mile_equiv,lat,lon,invert_ft,topbank_ft,channel_depth_ft,wse10,wse50,wse100,wse500,wse_fw,d100_above_invert,datum,vertcon_shift_ft,provenance,note
FRIS-RAS-g01,Cullowhee Creek,7216.0,1.367,35.30745,-83.18608,2083.4,2086.2,2.9,2092.9,2095.27,2095.94,2097.23,2096.23,12.6,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,7154.0,1.355,35.30754,-83.18622,2081.9,2089.3,7.4,2092.82,2095.1,2095.82,2097.14,2096.15,13.9,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,7115.0,1.348,35.30755,-83.18639,2081.8,2087.4,5.6,2092.32,2094.23,2095.17,2096.81,2095.17,13.4,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,7088.0,1.342,35.30761,-83.18645,2083.5,2087.9,4.5,2092.01,2094.11,2095.06,2096.68,2095.06,11.6,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,6813.0,1.29,35.30816,-83.1871,2083.4,2087.5,4.1,2089.34,2091.54,2092.94,2095.54,2093.49,9.5,NAVD88,0.0,effective-model,Known-WS boundary section (not computed)
TVA-1983,Tuckasegee,,33.71,35.369,-83.253,,,,2001.08,,2007.78,2013.28,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.118,1983-TVA,
TVA-1983,Tuckasegee,,33.98,35.36721,-83.25023,,,,2003.68,,2010.48,2015.88,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.122,1983-TVA,
TVA-1983,Tuckasegee,,34.56,35.36337,-83.24429,,,,2008.77,,2016.57,2022.47,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.13,1983-TVA,
TVA-1983,Tuckasegee,,35.27,35.35867,-83.23701,,,,2013.86,,2021.96,2027.36,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.138,1983-TVA,DS
TVA-1983,Tuckasegee,,35.27,35.35867,-83.23701,,,,2014.36,,2024.06,2029.56,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.138,1983-TVA,US
TVA-1983,Tuckasegee,,35.86,35.35476,-83.23096,,,,2017.76,,2026.56,2032.36,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.144,1983-TVA,
TVA-1983,Tuckasegee,,36.38,35.35131,-83.22563,,,,2022.35,,2029.25,2034.75,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.149,1983-TVA,
TVA-1983,Tuckasegee,,37.07,35.34674,-83.21856,,,,2032.95,,2038.85,2043.75,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.147,1983-TVA,DS
TVA-1983,Tuckasegee,,37.07,35.34674,-83.21856,,,,2033.55,,2039.95,2045.35,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.147,1983-TVA,US
TVA-1983,Tuckasegee,,37.54,35.34363,-83.21374,,,,2036.76,,2043.36,2048.76,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.145,1983-TVA,
TVA-1983,Tuckasegee,,38.1,35.33992,-83.208,,,,2041.66,,2048.46,2053.56,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.142,1983-TVA,row OCR-repaired at zoom
TVA-1983,Tuckasegee,,39.08,35.33342,-83.19795,,,,2048.06,,2055.36,2060.96,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.137,1983-TVA,
TVA-1983,Tuckasegee,,39.87,35.32819,-83.18985,,,,2054.07,,2061.68,2067.47,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.125,1983-TVA,
TVA-1983,Tuckasegee,,40.34,35.32508,-83.18504,,,,2057.58,,2065.08,2070.58,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.119,1983-TVA,
TVA-1983,Tuckasegee,,41.02,35.3198,-83.17799,,,,2063.19,,2071.29,2076.99,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.115,1983-TVA,DS
TVA-1983,Tuckasegee,,41.02,35.3198,-83.17799,,,,2063.79,,2072.49,2079.59,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.115,1983-TVA,US
TVA-1983,Tuckasegee,,41.13,35.31847,-83.1768,,,,2064.49,,2073.39,2080.29,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.115,1983-TVA,DS
TVA-1983,Tuckasegee,,41.13,35.31847,-83.1768,,,,2067.19,,2073.39,2080.29,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.115,1983-TVA,US US=DS at 100/500-yr (bridge drowned out); VERIFY
TVA-1983,Tuckasegee,,41.56,35.31326,-83.17215,,,,2069.68,,2076.28,2082.38,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.116,1983-TVA,
TVA-1983,Tuckasegee,,41.92,35.30889,-83.16826,,,,2072.28,,2079.08,2084.48,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.119,1983-TVA,DS
TVA-1983,Tuckasegee,,41.92,35.30889,-83.16826,,,,2072.98,,2081.48,2087.18,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.119,1983-TVA,US
TVA-1983,Tuckasegee,,42.33,35.30392,-83.16383,,,,2075.28,,2083.98,2089.88,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.124,1983-TVA,
TVA-1983,Tuckasegee,,42.7,35.29943,-83.15983,,,,2077.27,,2085.37,2091.27,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.128,1983-TVA,
TVA-1983,Tuckasegee,,43.33,35.2918,-83.15302,,,,2085.19,,2091.99,2097.29,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.111,1983-TVA,
TVA-1983,Tuckasegee,,43.87,35.28525,-83.14718,,,,2089.51,,2096.51,2101.51,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.094,1983-TVA,DS
TVA-1983,Tuckasegee,,43.87,35.28525,-83.14718,,,,2090.71,,2098.61,2104.51,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.094,1983-TVA,US
TVA-1983,Tuckasegee,,44.37,35.27919,-83.14178,,,,2093.52,,2101.42,2107.12,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.077,1983-TVA,
TVA-1983,Tuckasegee,,44.98,35.27179,-83.13519,,,,2099.14,,2105.94,2111.34,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.06,1983-TVA,DS
TVA-1983,Tuckasegee,,44.98,35.27179,-83.13519,,,,2099.74,,2106.54,2111.94,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.06,1983-TVA,US
TVA-1983,Tuckasegee,,45.54,35.265,-83.12913,,,,2107.35,,2112.35,2116.95,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.047,1983-TVA,
TVA-1983,Tuckasegee,,46.2,35.257,-83.122,,,,2117.86,,2122.46,2126.06,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.036,1983-TVA,
TVA-1983,Cullowhee Creek,53,0.01,35.32138,-83.17953,,,,2062.09,,2069.99,2075.69,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.115,1983-TVA,DS Tuckasegee mi 40.88 backwater elevations (footnote d)
TVA-1983,Cullowhee Creek,53,0.01,35.32138,-83.17953,,,,2062.29,,2069.99,2075.69,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.115,1983-TVA,US
TVA-1983,Cullowhee Creek,1531,0.29,35.31798,-83.18051,,,,2064.68,,2069.98,2075.68,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.118,1983-TVA,
TVA-1983,Cullowhee Creek,3168,0.6,35.31421,-83.18158,,,,2072.88,,2074.78,2075.88,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.121,1983-TVA,
TVA-1983,Cullowhee Creek,4699,0.89,35.31068,-83.18259,,,,2079.08,,2081.38,2082.78,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.123,1983-TVA,ANCHOR: matches basins.py CC-WCU-2260 tva_wse
TVA-1983,Cullowhee Creek,5755,1.09,35.30825,-83.18328,,,,2083.68,,2084.97,2085.88,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.125,1983-TVA,DS
TVA-1983,Cullowhee Creek,5755,1.09,35.30825,-83.18328,,,,2084.57,,2088.28,2089.18,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.125,1983-TVA,US
TVA-1983,Cullowhee Creek,6125,1.16,35.3074,-83.18353,,,,2085.97,,2089.28,2090.47,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.125,1983-TVA,DS
TVA-1983,Cullowhee Creek,6125,1.16,35.3074,-83.18353,,,,2087.47,,2091.47,2095.68,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.125,1983-TVA,US
TVA-1983,Cullowhee Creek,7075,1.34,35.30522,-83.18415,,,,2090.67,,2093.77,2097.07,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.126,1983-TVA,DS Belk Bldg vicinity
TVA-1983,Cullowhee Creek,7075,1.34,35.30522,-83.18415,,,,2091.47,,2094.97,2097.27,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.126,1983-TVA,US 500-yr digit vision-confirmed 2097.4
TVA-1983,Cullowhee Creek,7603,1.44,35.304,-83.1845,,,,2093.17,,2095.97,2097.77,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.127,1983-TVA,* not shown on map/profile
TVA-1983,Long Branch,,0.04,35.30773,-83.18817,,,,2089.47,,2092.87,2101.67,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.127,1983-TVA,
TVA-1983,Long Branch,,0.21,35.30575,-83.19016,,,,2106.57,,2108.57,2109.77,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.128,1983-TVA,* not shown
TVA-1983,Long Branch,,0.22,35.30564,-83.19028,,,,2108.07,,2109.77,2111.17,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.128,1983-TVA,DS
TVA-1983,Long Branch,,0.22,35.30564,-83.19028,,,,2109.37,,2112.37,2112.97,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.128,1983-TVA,US
TVA-1983,Long Branch,,0.44,35.30308,-83.19285,,,,2128.07,,2130.17,2131.77,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.128,1983-TVA,ANCHOR: matches basins.py CC-LB-171 tva_wse
TVA-1983,Long Branch,,0.75,35.29948,-83.19649,,,,2178.57,,2179.97,2180.97,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.127,1983-TVA,* not shown
TVA-1983,Long Branch,,0.76,35.29937,-83.1966,,,,2179.47,,2180.97,2182.07,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.127,1983-TVA,DS
TVA-1983,Long Branch,,0.76,35.29937,-83.1966,,,,2181.87,,2182.77,2183.27,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.127,1983-TVA,US
TVA-1983,Long Branch,,0.86,35.29821,-83.19777,,,,2194.18,,2196.08,2196.98,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.124,1983-TVA,* not shown
TVA-1983,Long Branch,,0.87,35.29809,-83.19789,,,,2197.98,,2199.68,2200.98,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.124,1983-TVA,DS
TVA-1983,Long Branch,,0.87,35.29809,-83.19789,,,,2198.88,,2205.08,2205.78,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.124,1983-TVA,US
TVA-1983,Long Branch,,0.88,35.29797,-83.19801,,,,2203.48,,2205.38,2206.38,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.124,1983-TVA,* not shown
TVA-1983,Long Branch,,1.05,35.296,-83.2,,,,2232.58,,2234.48,2235.78,,,NAVD88 (VERTCON from NGVD29-1936SA),-0.12,1983-TVA,
