basin_id,Tc_min,wetness,posture,duration,rain_in,note
CC-UP-503,40,0.7,EMERGENCY,2h,4.88,
CC-UP-503,40,0.7,EMERGENCY,3h,5.18,
CC-UP-503,40,0.7,EMERGENCY,6h,7.15,
CC-UP-503,40,0.7,EMERGENCY,12h,8.34,
CC-UP-503,40,0.7,EMERGENCY,24h,9.24,
CC-UP-503,40,0.7,EMERGENCY,48h,9.89,
CC-UP-503,40,0.7,EMERGENCY,TypeII-24h-design,6.71,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,0.85,WATCH,1h,1.45,
CC-UP-503,40,0.85,WATCH,2h,1.57,
CC-UP-503,40,0.85,WATCH,3h,1.78,
CC-UP-503,40,0.85,WATCH,6h,2.05,
CC-UP-503,40,0.85,WATCH,12h,2.31,
CC-UP-503,40,0.85,WATCH,24h,2.49,
CC-UP-503,40,0.85,WATCH,48h,2.61,
CC-UP-503,40,0.85,WATCH,TypeII-24h-design,2.21,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,0.85,WARNING,1h,2.25,
CC-UP-503,40,0.85,WARNING,2h,2.59,
CC-UP-503,40,0.85,WARNING,3h,2.82,
CC-UP-503,40,0.85,WARNING,6h,3.64,
CC-UP-503,40,0.85,WARNING,12h,4.17,
CC-UP-503,40,0.85,WARNING,24h,4.57,
CC-UP-503,40,0.85,WARNING,48h,4.84,
CC-UP-503,40,0.85,WARNING,TypeII-24h-design,3.58,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,0.85,EMERGENCY,1h,3.56,
CC-UP-503,40,0.85,EMERGENCY,2h,4.4,
CC-UP-503,40,0.85,EMERGENCY,3h,4.61,
CC-UP-503,40,0.85,EMERGENCY,6h,6.57,
CC-UP-503,40,0.85,EMERGENCY,12h,7.72,
CC-UP-503,40,0.85,EMERGENCY,24h,8.61,
CC-UP-503,40,0.85,EMERGENCY,48h,9.24,
CC-UP-503,40,0.85,EMERGENCY,TypeII-24h-design,6.04,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,1.0,WATCH,1h,1.17,
CC-UP-503,40,1.0,WATCH,2h,1.29,
CC-UP-503,40,1.0,WATCH,3h,1.44,
CC-UP-503,40,1.0,WATCH,6h,1.72,
CC-UP-503,40,1.0,WATCH,12h,1.94,
CC-UP-503,40,1.0,WATCH,24h,2.09,
CC-UP-503,40,1.0,WATCH,48h,2.19,
CC-UP-503,40,1.0,WATCH,TypeII-24h-design,1.8,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,1.0,WARNING,1h,1.89,
CC-UP-503,40,1.0,WARNING,2h,2.23,
CC-UP-503,40,1.0,WARNING,3h,2.39,
CC-UP-503,40,1.0,WARNING,6h,3.19,
CC-UP-503,40,1.0,WARNING,12h,3.69,
CC-UP-503,40,1.0,WARNING,24h,4.06,
CC-UP-503,40,1.0,WARNING,48h,4.33,
CC-UP-503,40,1.0,WARNING,TypeII-24h-design,3.07,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,1.0,EMERGENCY,1h,3.12,
CC-UP-503,40,1.0,EMERGENCY,2h,3.97,
CC-UP-503,40,1.0,EMERGENCY,3h,4.1,
CC-UP-503,40,1.0,EMERGENCY,6h,6.05,
CC-UP-503,40,1.0,EMERGENCY,12h,7.18,
CC-UP-503,40,1.0,EMERGENCY,24h,8.05,
CC-UP-503,40,1.0,EMERGENCY,48h,8.68,
CC-UP-503,40,1.0,EMERGENCY,TypeII-24h-design,5.39,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.15,WATCH,1h,3.47,
CC-MS-1100,63,0.15,WATCH,2h,3.54,
CC-MS-1100,63,0.15,WATCH,3h,3.78,
CC-MS-1100,63,0.15,WATCH,6h,4.25,
CC-MS-1100,63,0.15,WATCH,12h,4.71,
CC-MS-1100,63,0.15,WATCH,24h,4.98,
CC-MS-1100,63,0.15,WATCH,48h,5.16,
CC-MS-1100,63,0.15,WATCH,TypeII-24h-design,4.96,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.15,WARNING,1h,4.75,
CC-MS-1100,63,0.15,WARNING,2h,5.02,
CC-MS-1100,63,0.15,WARNING,3h,5.49,
CC-MS-1100,63,0.15,WARNING,6h,6.27,
CC-MS-1100,63,0.15,WARNING,12h,7.01,
CC-MS-1100,63,0.15,WARNING,24h,7.53,
CC-MS-1100,63,0.15,WARNING,48h,7.86,
CC-MS-1100,63,0.15,WARNING,TypeII-24h-design,7.0,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.15,EMERGENCY,1h,6.74,
CC-MS-1100,63,0.15,EMERGENCY,2h,7.3,
CC-MS-1100,63,0.15,EMERGENCY,3h,8.02,
CC-MS-1100,63,0.15,EMERGENCY,6h,9.65,
CC-MS-1100,63,0.15,EMERGENCY,12h,10.91,
CC-MS-1100,63,0.15,EMERGENCY,24h,11.85,
CC-MS-1100,63,0.15,EMERGENCY,48h,12.5,
CC-MS-1100,63,0.15,EMERGENCY,TypeII-24h-design,10.14,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.35,WATCH,1h,2.75,
CC-MS-1100,63,0.35,WATCH,2h,2.83,
CC-MS-1100,63,0.35,WATCH,3h,3.04,
CC-MS-1100,63,0.35,WATCH,6h,3.44,
CC-MS-1100,63,0.35,WATCH,12h,3.78,
CC-MS-1100,63,0.35,WATCH,24h,4.02,
CC-MS-1100,63,0.35,WATCH,48h,4.18,
CC-MS-1100,63,0.35,WATCH,TypeII-24h-design,3.99,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.35,WARNING,1h,3.89,
CC-MS-1100,63,0.35,WARNING,2h,4.14,
CC-MS-1100,63,0.35,WARNING,3h,4.57,
CC-MS-1100,63,0.35,WARNING,6h,5.26,
CC-MS-1100,63,0.35,WARNING,12h,5.91,
CC-MS-1100,63,0.35,WARNING,24h,6.34,
CC-MS-1100,63,0.35,WARNING,48h,6.65,
CC-MS-1100,63,0.35,WARNING,TypeII-24h-design,5.77,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.35,EMERGENCY,1h,5.7,
CC-MS-1100,63,0.35,EMERGENCY,2h,6.24,
CC-MS-1100,63,0.35,EMERGENCY,3h,6.81,
CC-MS-1100,63,0.35,EMERGENCY,6h,8.38,
CC-MS-1100,63,0.35,EMERGENCY,12h,9.55,
CC-MS-1100,63,0.35,EMERGENCY,24h,10.43,
CC-MS-1100,63,0.35,EMERGENCY,48h,11.05,
CC-MS-1100,63,0.35,EMERGENCY,TypeII-24h-design,8.66,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.5,WATCH,1h,2.31,
CC-MS-1100,63,0.5,WATCH,2h,2.39,
CC-MS-1100,63,0.5,WATCH,3h,2.58,
CC-MS-1100,63,0.5,WATCH,6h,2.92,
CC-MS-1100,63,0.5,WATCH,12h,3.22,
CC-MS-1100,63,0.5,WATCH,24h,3.43,
CC-MS-1100,63,0.5,WATCH,48h,3.58,
CC-MS-1100,63,0.5,WATCH,TypeII-24h-design,3.37,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.5,WARNING,1h,3.36,
CC-MS-1100,63,0.5,WARNING,2h,3.59,
CC-MS-1100,63,0.5,WARNING,3h,3.97,
CC-MS-1100,63,0.5,WARNING,6h,4.64,
CC-MS-1100,63,0.5,WARNING,12h,5.21,
CC-MS-1100,63,0.5,WARNING,24h,5.61,
CC-MS-1100,63,0.5,WARNING,48h,5.89,
CC-MS-1100,63,0.5,WARNING,TypeII-24h-design,5.0,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.5,EMERGENCY,1h,5.04,
CC-MS-1100,63,0.5,EMERGENCY,2h,5.58,
CC-MS-1100,63,0.5,EMERGENCY,3h,6.05,
CC-MS-1100,63,0.5,EMERGENCY,6h,7.59,
CC-MS-1100,63,0.5,EMERGENCY,12h,8.71,
CC-MS-1100,63,0.5,EMERGENCY,24h,9.55,
CC-MS-1100,63,0.5,EMERGENCY,48h,10.12,
CC-MS-1100,63,0.5,EMERGENCY,TypeII-24h-design,7.74,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.7,WATCH,1h,1.81,
CC-MS-1100,63,0.7,WATCH,2h,1.9,
CC-MS-1100,63,0.7,WATCH,3h,2.06,
CC-MS-1100,63,0.7,WATCH,6h,2.34,
CC-MS-1100,63,0.7,WATCH,12h,2.6,
CC-MS-1100,63,0.7,WATCH,24h,2.78,
CC-MS-1100,63,0.7,WATCH,48h,2.91,
CC-MS-1100,63,0.7,WATCH,TypeII-24h-design,2.66,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.7,WARNING,1h,2.75,
CC-MS-1100,63,0.7,WARNING,2h,2.97,
CC-MS-1100,63,0.7,WARNING,3h,3.27,
CC-MS-1100,63,0.7,WARNING,6h,3.91,
CC-MS-1100,63,0.7,WARNING,12h,4.41,
CC-MS-1100,63,0.7,WARNING,24h,4.78,
CC-MS-1100,63,0.7,WARNING,48h,5.04,
CC-MS-1100,63,0.7,WARNING,TypeII-24h-design,4.13,LEGACY design storm - the shape the old single-column table used
CC-MS-1100,63,0.7,EMERGENCY,1h,4.28,
CC-MS-1100,63,0.7,EMERGENCY,2h,4.82,
CC-MS-1100,63,0.7,EMERGENCY,3h,5.18,
CC-MS-1100,63,0.7,EMERGENCY,6h,6.69,
CC-MS-1100,63,0.7,EMERGENCY,12h,7.74,
CC-MS-1100,63,0.7,EMERGENCY,24h,8.51,
CC-MS-1100,63,0.7,EMERGENCY,48h,9.04,
