2024-09-25 00:00,0.0
2024-09-25 01:00,0.0
2024-09-25 02:00,0.0
2024-09-25 03:00,0.0
2024-09-25 04:00,0.0
2024-09-25 05:00,0.0
2024-09-25 06:00,0.0
2024-09-25 07:00,0.0
2024-09-25 08:00,0.0
2024-09-25 09:00,0.0
2024-09-25 10:00,0.0
2024-09-25 11:00,0.02
2024-09-25 12:00,0.03
2024-09-25 13:00,0.0
2024-09-25 14:00,0.01
2024-09-25 15:00,0.06
2024-09-25 16:00,0.18
2024-09-25 17:00,0.24
2024-09-25 18:00,0.07
2024-09-25 19:00,0.28
2024-09-25 20:00,0.22
2024-09-25 21:00,0.08
2024-09-25 22:00,0.02
2024-09-25 23:00,0.03
2024-09-26 00:00,0.01
2024-09-26 01:00,0.07
2024-09-26 02:00,0.37
2024-09-26 03:00,0.06
2024-09-26 04:00,0.04
2024-09-26 05:00,0.04
2024-09-26 06:00,0.15
2024-09-26 07:00,0.3
2024-09-26 08:00,0.11
2024-09-26 09:00,0.42
2024-09-26 10:00,0.48
2024-09-26 11:00,0.16
2024-09-26 12:00,0.02
2024-09-26 13:00,0.04
2024-09-26 14:00,0.01
2024-09-26 15:00,0.04
2024-09-26 16:00,0.03
2024-09-26 17:00,0.05
2024-09-26 18:00,0.13
2024-09-26 19:00,0.19
2024-09-26 20:00,0.07
2024-09-26 21:00,0.25
2024-09-26 22:00,0.38
2024-09-26 23:00,0.1
2024-09-27 00:00,0.12
2024-09-27 01:00,0.23
2024-09-27 02:00,0.36
2024-09-27 03:00,0.28
2024-09-27 04:00,0.33
2024-09-27 05:00,0.39
2024-09-27 06:00,0.22
2024-09-27 07:00,0.28
2024-09-27 08:00,0.12
2024-09-27 09:00,0.12
2024-09-27 10:00,0.01
2024-09-27 11:00,0.0
2024-09-27 12:00,0.0
2024-09-27 13:00,0.0
2024-09-27 14:00,0.0
2024-09-27 15:00,0.0
2024-09-27 16:00,0.0
2024-09-27 17:00,0.0
2024-09-27 18:00,0.0
2024-09-27 19:00,0.0
2024-09-27 20:00,0.0
2024-09-27 21:00,0.01
2024-09-27 22:00,0.0
2024-09-27 23:00,0.0
